Company Name,Stock Code:Market,ISIN Code,HP Short Name
AMPLEFIELD LIMITED,C60:SGX,SG1O55913907,Amplefield^
SUNNINGDALE TECH LTD,T35:SGX,SG1O56913914,Sunningdale Tech
MEGACHEM LIMITED,5DS:CATALIST,SG1O60914015,MegaChem
JACKSPEED CORPORATION LIMITED,J17:SGX,SG1O75914679,Jackspeed
RENEWABLE ENERGY ASIA GRP LTD,5DW:CATALIST,BMG7499U1099,Renewable Energy
METAL COMPONENT ENGG LTD,5DX:CATALIST,SG1O81915033,Metal Component
HI-P INTERNATIONAL LIMITED,H17:SGX,SG1O83915098,Hi-P
DESIGN STUDIO GROUP LTD.,D11:SGX,SG1O90915222,Design Studio
EXCELPOINT TECHNOLOGY LTD,E17:SGX,SG1O91915304,Excelpoint
CELESTIAL NUTRIFOODS LIMITED,C56:SGX,BMG1991H1043,Celestial Nutri
CHALLENGER TECHNOLOGIES LTD,573:SGX,SG1O97915910,Challenger
ACTION ASIA LIMITED,A59:SGX,SG1O98915927,Action Asia
CFM HOLDINGS LIMITED,5EB:CATALIST,SG1P02915996,CFM
ISR CAPITAL LIMITED,5EC:SGX,SG1P04916067,ISR Capital
AEI CORPORATION LTD,A18:SGX,SG1P09916310,AEI
CHINA FLEXIBLE PACK HLDG LTD,C59:SGX,BMG2108U1036,China Flexpack
MATEX INTERNATIONAL LIMITED,M15:SGX,SG1P13916389,Matex Intl^
STRACO CORPORATION LIMITED,S85:SGX,SG1P15916395,Straco
CAPTII LIMITED,U18:SGX,SG1P16916402,Captii
ADVENTUS HOLDINGS LIMITED,5EF:CATALIST,SG1P24916816,Adventus
ZHONGXIN FRUIT AND JUICE LTD,5EG:CATALIST,SG1P25916898,Zhongxin Fruit
FIBRECHEM TECHNOLOGIES LIMITED,F12:SGX,BMG3397M1091,Fibrechem Tech
UNITED ENVIROTECH LTD,U19:SGX,SG1P29918163,United Envtech
CAPITACOMMERCIAL TRUST,C61U:SGX,SG1P32918333,CapitaCom Trust
RAMBA ENERGY LIMITED,R14:SGX,SG1P35918371,Ramba Energy
CHINA JISHAN HOLDINGS LIMITED,J18:SGX,SG1P40918440,China Jishan
NOBLE GROUP LIMITED,N21:SGX,BMG6542T1190,Noble
ARMARDA GROUP LIMITED,5EK:CATALIST,BMG053861180,Armarda
LASSETERS INTL HOLDINGS LTD,5EL:CATALIST,SG1P64918631,Lasseters Intl
SINGAPORE PRESS HLDGS LTD,T39:SGX,SG1P66918738,SPH
MIRACH ENERGY LIMITED,C68:SGX,SG1P68918835,Mirach Energy
LIFEBRANDZ LTD.,L20:SGX,SG1P72918953,LifeBrandz
MIDAS HLDGS LIMITED,5EN:SGX,SG1P73919000,Midas
TELECHOICE INTERNATIONAL LTD,T41:SGX,SG1P75919099,TeleChoice Intl
CHINA AUTO ELECTRONICS GRP LTD,T42:SGX,BMG2111L1081,China Auto Elec
BEST WORLD INTERNATIONAL LTD,5ER:SGX,SG1P81919679,Best World
TECHCOMP (HOLDINGS) LIMITED,T43:SGX,BMG872571044,Techcomp
CHINA PAPER HOLDINGS LIMITED,C71:SGX,BMG2156K1484,China Paper
MEMTECH INTERNATIONAL LTD,M26:SGX,SG1P85919766,Memtech Intl
8TELECOM INTL HOLDINGS CO LTD,E25:SGX,BMG3087Y1084,8Telecom
MEGHMANI ORGANICS LIMITED,M30:SGX,SG1P93919998,Meghmani SDS
ASIASONS CAPITAL LIMITED,5ET:SGX,SG1P94920060,Asiasons Capital
CHINA POWERPLUS LIMITED,Z02:SGX,SG1P97920257,China PowerPlus^
